what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1425967371745
java.vm.version,sysinfo,,,"24.65-b04",1425967371745
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1425967371791
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1425967373620
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1425967374291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1425967384340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967396701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967527480
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967530605
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967531199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1425967534308
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1425967535606
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1425967535793
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1425967536418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1425967546043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967552823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1425967553026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425967569433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967572611
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1425967581133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967582540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967842817
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1425967844426
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967852250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967852938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1425967855235
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967858719
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1425967865047
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1425967866344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1425967869782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1425967874985
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967878054
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967878429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1425967884414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967887289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967915779
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967917998
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967944932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967970944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967977277
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425967978935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425967990501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968048494
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1425968050775
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1425968052681
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1425968053181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968059626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968078624
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1425968082530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968126529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968312038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968321334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968373407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968377750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968477958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968498656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968537526
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968554595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968556446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968556461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968574131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968586458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968606507
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425968615082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1425968616738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968617441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968623473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968638555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968643125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968645322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968699061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968711323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425968730402
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425968734902
