what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425573897766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425573905875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425573939030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425573948030
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1425573950686
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425573972896
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425574032632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574035039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574035773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574059313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574120672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574123797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574132594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574134766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574768310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574803148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574887336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574888579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425574910646
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1425574917502
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1425574961903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425575140701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425575194923
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1425575219720
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1425575221692
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425575223271
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425575236665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425575237632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425575319514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425575321925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425575379179
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425575383954
