what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213286471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213286940
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1429213294644
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213296222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213296519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213296847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213298269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213298441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213298707
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1429213308175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213309613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213312863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213313003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213314566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213314644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213316654
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1429213326451
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429213327982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1429213331341
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1429213335279
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429213335841
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429213337654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1429213341849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1429213343927
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1429213347833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1429213348130
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1429213353521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213355068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213355365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213355630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213360052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429213360193
